IMPAQ_ID,DBA Name,Address Line 1,Address Line 2,City,State,Zip,Latitude,Longitude,Full Address,matchsource,est_id,found_pic,Manual Result,name_update,addr_update,lat_update,lon_update,biz_status,DBA Name_update,Full Address_update,Latitude_update,Longitude_update,Coordinates,On Tribe Land,Assoc Tribe,Assoc Res
0,DISCOUNT TOBACCO OUTLET #110,3326 ATLANTA HWY,,MONTGOMERY,AL,36109,32.38409418,-86.26177941,"3326 ATLANTA HWY  MONTGOMERY, AL 36109",Original,0,,,Can't Validate,Can't Validate,Can't Validate,Can't Validate,Can't Validate,DISCOUNT TOBACCO OUTLET #110,"3326 ATLANTA HWY  MONTGOMERY, AL 36109",32.38409418,-86.26177941,POINT (-86.26177941 32.38409418),No,,
1,FAST LANE,3493 JACK SPRINGS RD,,ATMORE,AL,36502,31.07536691,-87.52319321,"3493 JACK SPRINGS RD  ATMORE, AL 36502",Original,1,1.0,yes,FAST LANE OUTDOORS,Correct,Correct,Correct,Active,FAST LANE OUTDOORS,"3493 JACK SPRINGS RD  ATMORE, AL 36502",31.07536691,-87.52319321,POINT (-87.52319321 31.07536691),No,,
2,TOBACCO N BEVERAGE OUTLET 3 Package Store,4220 MOBILE HWY,,MONTGOMERY,AL,36108,32.33069244,-86.34399543,"4220 MOBILE HWY  MONTGOMERY, AL 36108",Original,2,,,Correct,Correct,Correct,Correct,Active,TOBACCO N BEVERAGE OUTLET 3 Package Store,"4220 MOBILE HWY  MONTGOMERY, AL 36108",32.33069244,-86.34399543,POINT (-86.34399543000001 32.33069244),No,,
3,DIAMOND FOOD MART / SHELL,1204 E NASHVILLE AVE,,ATMORE,AL,36502,31.02420487,-87.48084617,"1204 E NASHVILLE AVE  ATMORE, AL 36502",Original,3,,,Correct,Correct,Correct,Correct,Active,DIAMOND FOOD MART / SHELL,"1204 E NASHVILLE AVE  ATMORE, AL 36502",31.02420487,-87.48084617,POINT (-87.48084617000001 31.02420487),No,,
4,Poarch Creek Indians Smoke Shop/CREEK SMOKE SHOP,116 POARCH ROAD,,ATMORE,AL,36502,31.101891600000002,-87.48272393,"116 POARCH ROAD  ATMORE, AL 36502",Original,4,,,Correct,Correct,Correct,Correct,Active,Poarch Creek Indians Smoke Shop/CREEK SMOKE SHOP,"116 POARCH ROAD  ATMORE, AL 36502",31.101891600000002,-87.48272393,POINT (-87.48272393000001 31.1018916),Within 1 mile,Poarch Creek,Poarch Creek Reservation
5,THE CIGAR SHOPPE,5349 YOUNG BARN RD,,MONTGOMERY,AL,36106,32.3493084,-86.22338736,"5349 YOUNG BARN RD  MONTGOMERY, AL 36106",Original,5,,,Correct,Correct,Correct,Correct,Active,THE CIGAR SHOPPE,"5349 YOUNG BARN RD  MONTGOMERY, AL 36106",32.3493084,-86.22338736,POINT (-86.22338736 32.3493084),No,,
6,WIND CREEK CASINO & HOTEL,303 POARCH ROAD,,ATMORE,AL,36502,31.103343,-87.48397,"303 POARCH ROAD  ATMORE, AL 36502",Original,6,1.0,yes,Correct,Correct,Correct,Correct,Active,WIND CREEK CASINO & HOTEL,"303 POARCH ROAD  ATMORE, AL 36502",31.103343,-87.48397,POINT (-87.48397 31.103343),Within 1 mile,Poarch Creek,Poarch Creek Reservation
7,CHEVRON/Diamond Food Mart,303 HOWARD ST.,,ATMORE,AL,36502,31.029988,-87.496241,"303 HOWARD ST.  ATMORE, AL 36502",Original,7,1.0,yes,Correct,Correct,Correct,Correct,Active,CHEVRON/Diamond Food Mart,"303 HOWARD ST.  ATMORE, AL 36502",31.029988,-87.496241,POINT (-87.496241 31.029988),No,,
8,CREEK CASINO MONTGOMERY,1801 EDDIE TULLIS DR.,,MONTGOMERY,AL,36117,32.423746,-86.140129,"1801 EDDIE TULLIS DR.  MONTGOMERY, AL 36117",Original,8,,,WIND CREEK MONTGOMERY,"1801 Eddie L Tullis Rd, Montgomery, AL 36117, USA",32.4245456,-86.1389085,Active,WIND CREEK MONTGOMERY,"1801 Eddie L Tullis Rd, Montgomery, AL 36117, USA",32.4245456,-86.1389085,POINT (-86.1389085 32.4245456),Within 1 mile,Poarch Creek,Poarch Creek Off-Reservation Trust Land
9,CCS Wetumpka/RIVERSIDE SMOKE SHOP,102 RIVER OAKS DR.,,WETUMPKA,AL,36092,32.525197,-86.209731,"102 RIVER OAKS DR.  WETUMPKA, AL 36092",Original,9,1.0,yes,Correct,"89 River Oaks Dr, Wetumpka, AL 36092, USA",32.525877,-86.20896839999997,Active,CCS Wetumpka/RIVERSIDE SMOKE SHOP,"89 River Oaks Dr, Wetumpka, AL 36092, USA",32.525877,-86.20896839999996,POINT (-86.20896839999996 32.525877),Within 1 mile,Poarch Creek,Poarch Creek Reservation
10,WIND CREEK CASINO AND HOTEL,100 RIVER OAKS DR.,,WETUMPKA,AL,36092,32.525201,-86.209727,"100 RIVER OAKS DR.  WETUMPKA, AL 36092",Original,10,1.0,yes,WIND CREEK WETUMPKA,Correct,Correct,Correct,Active,WIND CREEK WETUMPKA,"100 RIVER OAKS DR.  WETUMPKA, AL 36092",32.525201,-86.209727,POINT (-86.209727 32.525201),Within 1 mile,Poarch Creek,Poarch Creek Reservation
11,Poarch Creek Indians Convenience/Creek Travel Plaza,4740 JACK SPRINGS RD.,,ATMORE,AL,36502,31.086001,-87.538763,"4740 JACK SPRINGS RD.  ATMORE, AL 36502",Original,11,,,Correct,Correct,Correct,Correct,Active,Poarch Creek Indians Convenience/Creek Travel Plaza,"4740 JACK SPRINGS RD.  ATMORE, AL 36502",31.086001,-87.538763,POINT (-87.538763 31.086001),Within 1 mile,Poarch Creek,Poarch Creek Reservation
12,F & M CIGARS,8860 MINNIE BROWN RD,,MONTGOMERY,AL,36117,32.361886,-86.139049,"8860 MINNIE BROWN RD  MONTGOMERY, AL 36117",Original,12,1.0,yes,Correct,Correct,Correct,Correct,Active,F & M CIGARS,"8860 MINNIE BROWN RD  MONTGOMERY, AL 36117",32.361886,-86.139049,POINT (-86.139049 32.361886),No,,
13,SPEAKEASY CIGARS & SPIRITS LLC,162 MOSLEY ST,,ATMORE,AL,36502,31.027618,-87.482712,"162 MOSLEY ST  ATMORE, AL 36502",Original,13,,,Correct,"501 E Baars St, Pensacola, FL 32503, USA",30.443291100000003,-87.2146681,Active,SPEAKEASY CIGARS & SPIRITS LLC,"501 E Baars St, Pensacola, FL 32503, USA",30.443291100000003,-87.2146681,POINT (-87.2146681 30.4432911),No,,
14,TOBACCO ROAD LIMITED,2073 COLISEUM BLVD,,MONTGOMERY,AL,36110,32.420231,-86.268651,"2073 COLISEUM BLVD  MONTGOMERY, AL 36110",Original,14,1.0,yes,Correct,Correct,Correct,Correct,Active,TOBACCO ROAD LIMITED,"2073 COLISEUM BLVD  MONTGOMERY, AL 36110",32.420231,-86.268651,POINT (-86.26865100000001 32.420231),No,,
15,HANK'S TRADING POST,NORTH HIGHWAY 89 MP 446,,FLAGSTAFF,AZ,86004,35.35924931,-111.57035069999999,"NORTH HIGHWAY 89 MP 446  FLAGSTAFF, AZ 86004",Original,15,,,Correct,"31926 North, US-89, Flagstaff, AZ 86004, USA",35.59349220000001,-111.5274097,Active,HANK'S TRADING POST,"31926 North, US-89, Flagstaff, AZ 86004, USA",35.59349220000001,-111.5274097,POINT (-111.5274097 35.59349220000001),No,,
16,DESERT VIEW TRADING POST,DESERT VIEW,,GRAND CANYON,AZ,86023,36.040386,-111.82805,"DESERT VIEW  GRAND CANYON, AZ 86023",Original,16,1.0,yes,DESERT VIEW TRADING POST AND ICE CREAM,Correct,Correct,Correct,Active,DESERT VIEW TRADING POST AND ICE CREAM,"DESERT VIEW  GRAND CANYON, AZ 86023",36.040386,-111.82805,POINT (-111.82805 36.040386),No,,
17,WOODY'S,23505  MOHAVE RD,,PARKER,AZ,85344,33.99004826,-114.4003922,"23505  MOHAVE RD  PARKER, AZ 85344",Original,17,,,Correct,Correct,Correct,Correct,Active,WOODY'S,"23505  MOHAVE RD  PARKER, AZ 85344",33.99004826,-114.4003922,POINT (-114.4003922 33.99004826),Yes,Colorado River,Colorado River Indian Reservation
18,TERRIBLES HERBST,1001 S CALIFORNIA AVE,,PARKER,AZ,85344,34.15008385,-114.28851189999999,"1001 S CALIFORNIA AVE  PARKER, AZ 85344",Original,18,,,Correct,Correct,Correct,Correct,Active,TERRIBLES HERBST,"1001 S CALIFORNIA AVE  PARKER, AZ 85344",34.15008385,-114.28851189999999,POINT (-114.2885119 34.15008385),Yes,Colorado River,Colorado River Indian Reservation
19,SMOKERS FRIENDLY #31,820 CALIFORNIA ST,,PARKER,AZ,85344,34.15209361,-114.2902916,"820 CALIFORNIA ST  PARKER, AZ 85344",Original,19,,,Can't Validate,Can't Validate,Can't Validate,Can't Validate,Can't Validate,SMOKERS FRIENDLY #31,"820 CALIFORNIA ST  PARKER, AZ 85344",34.15209361,-114.2902916,POINT (-114.2902916 34.15209361),Yes,Colorado River,Colorado River Indian Reservation
20,LITTLE BROWN JUG,900 S CALIFORNIA AVE,,PARKER,AZ,85344,34.15131721,-114.28981019999999,"900 S CALIFORNIA AVE  PARKER, AZ 85344",Original,20,,,Correct,Correct,Correct,Correct,Active,LITTLE BROWN JUG,"900 S CALIFORNIA AVE  PARKER, AZ 85344",34.15131721,-114.28981019999999,POINT (-114.2898102 34.15131721),Yes,Colorado River,Colorado River Indian Reservation
21,LAKE MANOR GROCERY,10142 RIVERSIDE DR,,PARKER,AZ,85344,34.18554032,-114.22585359999998,"10142 RIVERSIDE DR  PARKER, AZ 85344",Original,21,,,LAKE MANOR MARKET,Correct,Correct,Correct,Closed,LAKE MANOR MARKET,"10142 RIVERSIDE DR  PARKER, AZ 85344",34.18554032,-114.22585359999998,POINT (-114.2258536 34.18554032),Within 1 mile,Colorado River,Colorado River Indian Reservation
22,CIRCLE K,1516 S CALIFORNIA AVE,,PARKER,AZ,85344,34.14518762,-114.286023,"1516 S CALIFORNIA AVE  PARKER, AZ 85344",Original,22,,,Correct,Correct,Correct,Correct,Active,CIRCLE K,"1516 S CALIFORNIA AVE  PARKER, AZ 85344",34.14518762,-114.286023,POINT (-114.286023 34.14518762),Yes,Colorado River,Colorado River Indian Reservation
23,CIRCLE K,8861  RIVERSIDE DR,,PARKER,AZ,85344,34.19988831,-114.2193001,"8861  RIVERSIDE DR  PARKER, AZ 85344",Original,23,,,Correct,Correct,Correct,Correct,Active,CIRCLE K,"8861  RIVERSIDE DR  PARKER, AZ 85344",34.19988831,-114.2193001,POINT (-114.2193001 34.19988831),Within 1 mile,Colorado River,Colorado River Indian Reservation
24,CHEVRON/FOOD MART,6822 EAST WILLIAMS FIELD ROAD,,MESA,AZ,85212,33.30726283,-111.6860213,"6822 EAST WILLIAMS FIELD ROAD  MESA, AZ 85212",Original,24,1.0,yes,Correct,Correct,Correct,Correct,Active,CHEVRON/FOOD MART,"6822 EAST WILLIAMS FIELD ROAD  MESA, AZ 85212",33.30726283,-111.6860213,POINT (-111.6860213 33.30726283),No,,
25,OWL EAR SMOKE SHOP,9211 E VIA DE VENTURA,,SCOTTSDALE,AZ,85258,33.55339059,-111.8826432,"9211 E VIA DE VENTURA  SCOTTSDALE, AZ 85258",Original,25,,,Correct,"9211 East Vía de Ventura, Scottsdale, AZ 85258, USA",33.5527669,-111.88208329999999,Active,OWL EAR SMOKE SHOP,"9211 East Vía de Ventura, Scottsdale, AZ 85258, USA",33.5527669,-111.8820833,POINT (-111.8820833 33.5527669),Yes,Salt River,Salt River Reservation
26,BEST BUY MARKET,8892  HIGHWAY 95,,MOHAVE VALLEY,AZ,86440,34.89831978,-114.59729420000001,"8892  HIGHWAY 95  MOHAVE VALLEY, AZ 86440",Original,26,1.0,yes,BEST BUY MARKET -NOT AN ELECTRONICS STORE,"8828 AZ-95, Mohave Valley, AZ 86440, USA",34.89854629999999,-114.5972987,Active,BEST BUY MARKET -NOT AN ELECTRONICS STORE,"8828 AZ-95, Mohave Valley, AZ 86440, USA",34.89854629999999,-114.5972987,POINT (-114.5972987 34.89854629999999),Within 1 mile,Fort Mojave,Fort Mojave Reservation
27,ARCO AM/PM,10001 HARBOR AVE,,MOHAVE VALLEY,AZ,86440,34.86571936,-114.5999112,"10001 HARBOR AVE  MOHAVE VALLEY, AZ 86440",Original,27,,,Correct,Correct,Correct,Correct,Active,ARCO AM/PM,"10001 HARBOR AVE  MOHAVE VALLEY, AZ 86440",34.86571936,-114.5999112,POINT (-114.5999112 34.86571936),Within 1 mile,Fort Mojave,Fort Mojave Reservation
