address,block,countyfp,id,lat,lon,match,matchtype,parsed,side,statefp,tigerlineid,tract,matchsource
"1335 W University Dr, Tempe, AZ, 85281",,,765691.0,33.421254499999996,-111.96030690000002,True,ROOFTOP,,,,,,Google
"311 State Ave NE, Warroad, MN, 56763",2145.0,135.0,1425985.0,48.900859999999994,-95.32007,True,Non_Exact,"311 STATE AVE, WARROAD, MN, 56763",R,27.0,176591686.0,970100.0,Census
"2801 Rodeo Rd, Santa Fe, NM, 87507",4019.0,49.0,801655.0,35.638275,-105.981476,True,Non_Exact,"2801 W RODEO RD, SANTA FE, NM, 87507",R,35.0,632574386.0,1107.0,Census
"1099 W 8th St, Yuma, AZ, 85364",,,113651.0,32.7126175,-114.6329062,True,ROOFTOP,,,,,,Google
"235 Main St, Orofino, ID, 83544",,,1401796.0,46.4780304,-116.2544111,True,ROOFTOP,,,,,,Google
"1225 Oregon Ave SE, Bandon, OR, 97411",,,620921.0,43.1123134,-124.41473490000001,True,ROOFTOP,,,,,,Google
"712 W Grand Xing, Mobridge, SD, 57601",,,1640355.0,45.5376775,-100.4434162,True,ROOFTOP,,,,,,Google
"3302 E Mlk Jr Blvd, Tampa, FL, 33610",3032.0,57.0,7466988.0,27.981483,-82.42388000000001,True,Non_Exact,"3302 E DR MARTIN LUTHER KING JR BLVD, TAMPA, FL, 33610",L,12.0,104533586.0,1900.0,Census
"45820 Oasis St, Indio, CA, 92201",1056.0,65.0,700708.0,33.716103000000004,-116.2208,True,Exact,"45820 OASIS ST, INDIO, CA, 92201",L,6.0,194775386.0,49500.0,Census
"16545 E Palisades Blvd, Fountain Hills, AZ, 85268",4005.0,13.0,995344.0,33.609970000000004,-111.724396,True,Non_Exact,"16545 E PALISADES BLVD, FOUNTAIN HLS, AZ, 85268",R,4.0,128959853.0,216818.0,Census
"4860 S State Road 7, Fort Lauderdale, FL, 33314",,,674300.0,26.0613743,-80.2069254,True,ROOFTOP,,,,,,Google
"124 E Main St, Mayetta, KS, 66509",1047.0,85.0,1403983.0,39.338127,-95.72411,True,Exact,"124 E MAIN ST, MAYETTA, KS, 66509",L,20.0,10129325.0,82600.0,Census
"2349 S Kihei Rd, Kihei, HI, 96753",3000.0,9.0,3837924.0,20.721153,-156.44716,True,Non_Exact,"2349 S KIHEI RD, KIHEI, HI, 96753",L,15.0,635607019.0,30709.0,Census
"33 Deer Creek Cir, Fallon, NV, 89406",3033.0,1.0,1490190.0,39.490337,-118.77338,True,Non_Exact,"33 DEER TRL, FALLON, NV, 89406",L,32.0,139979173.0,950600.0,Census
"65770 Hammond Rd, Mecca, CA, 92254",,,1926375.0,33.5708474,-116.0767123,True,ROOFTOP,,,,,,Google
"2229 N School St Ste 101, Honolulu, HI, 96819",,,7455856.0,21.3404848,-157.8743114,True,ROOFTOP,,,,,,Google
"330 W Railroad Ave, Shelton, WA, 98584",3047.0,45.0,1415726.0,47.21306,-123.10291000000001,True,Non_Exact,"330 W RAILROAD AVE, SHELTON, WA, 98584",R,53.0,180853447.0,960800.0,Census
"918 Michigan Ave, Niagara Falls, NY, 14305",1020.0,63.0,660181.0,43.104656,-79.05250500000001,True,Exact,"918 MICHIGAN AVE, NIAGARA FALLS, NY, 14305",L,36.0,48685988.0,20500.0,Census
"1402 E Satco Rd, Whiteriver, AZ, 85941",,,7612544.0,33.81950870000001,-109.9778509,True,GEOMETRIC_CENTER,,,,,,Google
"125 Goddard Ave, Ignacio, CO, 81137",2036.0,67.0,1424206.0,37.119125,-107.63311000000002,True,Exact,"125 GODDARD AVE, IGNACIO, CO, 81137",L,8.0,91702445.0,940300.0,Census
"606 N 1st St, Hiawatha, KS, 66434",,,1403987.0,39.858390899999996,-95.52748509999999,True,ROOFTOP,,,,,,Google
"356 Bay St, Taunton, MA, 27801",,,1405927.0,41.9209566,-71.0970849,True,ROOFTOP,,,,,,Google
"575 Rivergate Unit 111, Durango, CO, 81301",1098.0,67.0,1869255.0,37.248474,-107.870575,True,Non_Exact,"575 RIVERGATE LN, DURANGO, CO, 81301",R,8.0,612539612.0,971100.0,Census
"2995 E Chandler Heights Rd, Chandler, AZ, 85249",,,1971144.0,33.233050399999996,-111.7902051,True,ROOFTOP,,,,,,Google
"820 E Florida St, Deming, NM, 88030",2033.0,29.0,1975978.0,32.254044,-107.74875,True,Non_Exact,"820 E FLORIDA ST, DEMING, NM, 88030",L,35.0,201331676.0,100.0,Census
"360 N Val Vista Dr, Mesa, AZ, 85213",2000.0,13.0,1813887.0,33.42181,-111.753654,True,Non_Exact,"360 N VAL VISTA DR, MESA, AZ, 85213",L,4.0,243913671.0,420707.0,Census
"2087 S 4th Ave, Yuma, AZ, 85364",,,766759.0,32.6900767,-114.62419779999999,True,ROOFTOP,,,,,,Google
"247 Clark Ave, Kelliher, MN, 56650",,,1425760.0,47.940393,-94.4492074,True,ROOFTOP,,,,,,Google
"1580 S Providence Center Dr, Cedar City, UT, 84720",,,3743799.0,37.6504296,-113.08651929999999,True,RANGE_INTERPOLATED,,,,,,Google
"413 W Sd Highway 46, Wagner, SD, 57380",1006.0,23.0,7404695.0,43.081646,-98.29824,True,Exact,"413 STATE HWY 46, WAGNER, SD, 57380",L,46.0,174525759.0,940300.0,Census
"734 N Riverside Dr, Espanola, NM, 87532",2002.0,49.0,1620542.0,36.001553,-106.06296499999999,True,Exact,"734 RIVERSIDE DR, ESPANOLA, NM, 87532",R,35.0,614070362.0,940900.0,Census
"11497 W Highway 160, Pagosa Springs, CO, 81147",1062.0,7.0,7590248.0,37.23296,-107.18316000000002,True,Non_Exact,"11497 US HWY 160, PAGOSA SPGS, CO, 81147",L,8.0,127327684.0,974200.0,Census
"280 Winthrop St Ste 1, Taunton, MA, 27807",2014.0,5.0,1881560.0,41.88941,-71.118576,True,Non_Exact,"280 WINTHROP ST, TAUNTON, MA, 02780",R,25.0,46816484.0,613400.0,Census
"21 N Main St, Garrison, ND, 58540",5188.0,55.0,626446.0,47.65169,-101.4174,True,Exact,"21 N MAIN ST, GARRISON, ND, 58540",L,38.0,198921156.0,961000.0,Census
"210 Main St, Hot Springs, MT, 59845",2289.0,89.0,7570879.0,47.608475,-114.67007,True,Exact,"210 MAIN ST, HOT SPRINGS, MT, 59845",R,30.0,204459506.0,940300.0,Census
"18097 County Highway 29, Detroit Lakes, MN, 56501",3002.0,5.0,3785142.0,46.833836,-95.68935400000001,True,Non_Exact,"18097 CO RD 29, DETROIT LAKES, MN, 56501",R,27.0,167965782.0,450300.0,Census
"100 N Courtland St, Chamberlain, SD, 57325",3029.0,15.0,1000508.0,43.811446999999994,-99.33134,True,Exact,"100 N COURTLAND ST, CHAMBERLAIN, SD, 57325",R,46.0,199147342.0,973200.0,Census
"117 Bennett Dr, Caribou, ME, 47362",,,7453212.0,46.8685374,-68.0037246,True,ROOFTOP,,,,,,Google
"1051 S Main Ave, Fallbrook, CA, 92028",,,1398080.0,33.3729906,-117.25149740000002,True,RANGE_INTERPOLATED,,,,,,Google
"715 S Forest Ave, Tempe, AZ, 85281",2018.0,13.0,7613210.0,33.42304,-111.93664,True,Non_Exact,"715 S FOREST AVE, TEMPE, AZ, 85281",L,4.0,128227171.0,318700.0,Census
"4008 Willows Rd, Alpine, CA, 91901",1056.0,73.0,1398086.0,32.834415,-116.72747,True,Exact,"4008 WILLOWS RD, ALPINE, CA, 91901",L,6.0,195338160.0,21206.0,Census
"12471 San Pablo Ave, Richmond, CA, 94805",3007.0,13.0,1399177.0,37.939594,-122.32708999999998,True,Exact,"12471 SAN PABLO AVE, RICHMOND, CA, 94805",L,6.0,192040110.0,371000.0,Census
"415 S 48th St, Tempe, AZ, 85281",1013.0,13.0,7359318.0,33.4259,-111.97738999999999,True,Exact,"415 S 48TH ST, TEMPE, AZ, 85281",L,4.0,128224640.0,319704.0,Census
"99 Lyndon St, Caribou, ME, 47361",1013.0,3.0,7587070.0,46.857079999999996,-68.007,True,Non_Exact,"99 LYNDON ST, CARIBOU, ME, 04736",L,23.0,123809946.0,951400.0,Census
"74 5455 Makala Blvd, Kailua Kona, HI, 96740",,,7464114.0,19.6479382,-156.0030595,True,ROOFTOP,,,,,,Google
"4461 S White Mountain Rd Ste D2, Show Low, AZ, 85901",,,7555883.0,34.2102057,-110.022512,True,GEOMETRIC_CENTER,,,,,,Google
"1650 E Valley Pkwy, Escondido, CA, 92027",2000.0,73.0,954829.0,33.13446,-117.05843,True,Non_Exact,"1650 E VALLEY PKWY, ESCONDIDO, CA, 92027",L,6.0,195313172.0,20207.0,Census
"1221 Main St, Fortuna, CA, 95540",4017.0,23.0,433997.0,40.597977,-124.15422,True,Exact,"1221 MAIN ST, FORTUNA, CA, 95540",L,6.0,113040083.0,10800.0,Census
"566 Hanson St, Winnemucca, NV, 89445",4011.0,13.0,1408148.0,40.965571999999995,-117.73688999999999,True,Exact,"566 HANSON ST, WINNEMUCCA, NV, 89445",L,32.0,170942459.0,10500.0,Census
"67 Trimble Crossing Dr, Durango, CO, 81301",1124.0,67.0,3668801.0,37.39103,-107.84487,True,Exact,"67 TRIMBLE CROSSING DR, DURANGO, CO, 81301",L,8.0,618383535.0,970704.0,Census
"4 8th St N, New Rockford, ND, 58356",2279.0,27.0,626431.0,47.680237,-99.137886,True,Exact,"4 8TH ST N, NEW ROCKFORD, ND, 58356",R,38.0,198781285.0,959200.0,Census
"30 Peachtree St, Murphy, NC, 28906",5087.0,39.0,1578085.0,35.087387,-84.033875,True,Exact,"30 PEACHTREE ST, MURPHY, NC, 28906",L,37.0,35836704.0,930400.0,Census
"891 Ululani St Ste 113, Hilo, HI, 96720",2004.0,1.0,7563010.0,19.715828,-155.08476000000002,True,Exact,"891 ULULANI ST, HILO, HI, 96720",L,15.0,614312695.0,20400.0,Census
"1660 W Williams Ave, Fallon, NV, 89406",5034.0,1.0,1408143.0,39.475229999999996,-118.79654,True,Non_Exact,"1660 W WILLIAMS AVE, FALLON, NV, 89406",R,32.0,139973307.0,950302.0,Census
"860 Heckle Blvd Ste 600, Rock Hill, SC, 29730",1009.0,91.0,1631214.0,34.9315,-81.05789,True,Exact,"860 HECKLE BLVD, ROCK HILL, SC, 29730",R,45.0,19818734.0,60502.0,Census
"15 S Mcclintock Dr, Tempe, AZ, 85281",,,2250720.0,33.4323968,-111.9080009,True,ROOFTOP,,,,,,Google
"3875 Cerrillos Rd, Santa Fe, NM, 87507",,,801695.0,35.6430249,-106.01242820000002,True,ROOFTOP,,,,,,Google
"6783 Stirling Rd, Fort Lauderdale, FL, 33314",,,3952505.0,26.045959,-80.2359124,True,ROOFTOP,,,,,,Google
"16 Echo Rd, Mashpee, MA, 26492",2000.0,1.0,1447516.0,41.656086,-70.502975,True,Non_Exact,"16 ECHO RD, MASHPEE, MA, 02649",R,25.0,121637173.0,15002.0,Census
"4450 Kapolei Pkwy Ste 100, Kapolei, HI, 96707",,,7462189.0,21.3303488,-158.0900895,True,ROOFTOP,,,,,,Google
"875 Waimanu St Ste 600, Honolulu, HI, 96813",1007.0,3.0,7563004.0,21.299437,-157.85406,True,Exact,"875 WAIMANU ST, HONOLULU, HI, 96813",R,15.0,203236483.0,3800.0,Census
"322 Main St, Dante, SD, 57329",2188.0,23.0,1000522.0,43.038338,-98.18465,True,Exact,"322 MAIN ST, DANTE, SD, 57329",L,46.0,174517437.0,940300.0,Census
"1315 E Chandler Blvd, Phoenix, AZ, 85048",3007.0,13.0,1539542.0,33.305508,-112.05385,True,Non_Exact,"1315 E CHANDLER BLVD, PHOENIX, AZ, 85048",L,4.0,128946432.0,116725.0,Census
"2474 Crosspointe Dr, Rock Hill, SC, 29730",1026.0,91.0,7265369.0,34.94083,-80.96055600000001,True,Non_Exact,"2474 CROSS POINT DR, ROCK HILL, SC, 29732",R,45.0,19807263.0,61201.0,Census
"4940 Corrales Rd, Corrales, NM, 87048",2043.0,43.0,7428272.0,35.23117,-106.612274,True,Exact,"4940 CORRALES RD, CORRALES, NM, 87048",R,35.0,194009903.0,10601.0,Census
"522 Main St W, Ashland, WI, 54806",3000.0,3.0,664340.0,46.611202,-90.83808,True,Non_Exact,"522 MAIN ST, ASHLAND, WI, 54806",R,55.0,165359352.0,950800.0,Census
"1040 E Bridge St, Redwood Falls, MN, 56283",,,1765200.0,44.540870899999994,-95.10318240000001,True,ROOFTOP,,,,,,Google
"9830 W Lower Buckeye Rd, Tolleson, AZ, 85353",1002.0,13.0,7464330.0,33.4211,-112.27107,True,Non_Exact,"9830 W LOWER BUCKEYE RD, TOLLESON, AZ, 85353",R,4.0,128913385.0,82204.0,Census
"1206 Mechem Dr, Ruidoso, NM, 88345",1050.0,27.0,7043959.0,33.367523,-105.66616,True,Exact,"1206 MECHEM DR, RUIDOSO, NM, 88345",R,35.0,169146608.0,960600.0,Census
"310 Lake St NW, Warroad, MN, 56763",2107.0,135.0,80106.0,48.906704,-95.32448000000001,True,Exact,"310 LAKE ST NW, WARROAD, MN, 56763",L,27.0,176591722.0,970100.0,Census
"505 Ellis Ave, Ashland, WI, 54806",,,2485657.0,46.58863770000001,-90.8811013,True,ROOFTOP,,,,,,Google
"890 N State Road 7, Hollywood, FL, 33021",,,1454490.0,26.017227899999998,-80.20868879999999,True,ROOFTOP,,,,,,Google
"18071 County Road 501, Bayfield, CO, 81122",,,7539130.0,37.4366775,-107.55814309999998,True,ROOFTOP,,,,,,Google
"75-5660 Kopiko St, Kailua Kona, HI, 96740",5031.0,1.0,7226803.0,19.643213,-155.99532,True,Exact,"75-5660 KOPIKO ST, KAILUA KONA, HI, 96740",L,15.0,614316158.0,21601.0,Census
"270 Kuulei Rd Ste 101, Kailua, HI, 96734",1009.0,3.0,7542556.0,21.396358,-157.74045,True,Exact,"270 KUULEI RD, KAILUA, HI, 96734",R,15.0,203248956.0,10905.0,Census
"11973 Highway 84 W, Jena, LA, 71342",,,7563477.0,31.692265000000003,-92.157891,True,ROOFTOP,,,,,,Google
"509 E 8th Ave Ste 7, Durango, CO, 81301",2002.0,67.0,3878002.0,37.26723,-107.87253,True,Non_Exact,"509 E 8TH AVE, DURANGO, CO, 81301",L,8.0,91697050.0,971100.0,Census
"698 Broad St, Salamanca, NY, 14779",6007.0,9.0,1409258.0,42.159176,-78.74141,True,Exact,"698 BROAD ST, SALAMANCA, NY, 14779",R,36.0,122025276.0,940300.0,Census
"202 W Lacey Blvd, Hanford, CA, 93230",,,2216822.0,36.3281414,-119.6480041,True,ROOFTOP,,,,,,Google
"1201 E Sherman Ave, Coeur D Alene, ID, 83814",,,1401772.0,47.6736957,-116.7689254,True,RANGE_INTERPOLATED,,,,,,Google
"1607 Northwest Blvd, Coeur D Alene, ID, 83814",2031.0,55.0,1401773.0,47.690346000000005,-116.79991000000001,True,Exact,"1607 NORTHWEST BLVD, COEUR D ALENE, ID, 83814",L,16.0,640599025.0,900.0,Census
"12622 San Pablo Ave, Richmond, CA, 94805",2004.0,13.0,766957.0,37.942505,-122.32846,True,Exact,"12622 SAN PABLO AVE, RICHMOND, CA, 94805",R,6.0,192040093.0,371000.0,Census
"254 Veterans Blvd, Bryson City, NC, 28713",3049.0,173.0,1466008.0,35.425259999999994,-83.44714,True,Exact,"254 VETERANS BLVD, BRYSON CITY, NC, 28713",L,37.0,36125820.0,960301.0,Census
"208 S Berner Rd, Clewiston, FL, 33440",,,7192986.0,26.7530378,-80.94672779999999,True,ROOFTOP,,,,,,Google
"1881 S Kihei Rd, Kihei, HI, 96753",,,3849702.0,20.7331545,-156.4517956,True,ROOFTOP,,,,,,Google
"403 W University Dr, Tempe, AZ, 85281",,,767802.0,33.4214529,-111.94484340000001,True,ROOFTOP,,,,,,Google
"28 Mayville Rd, Bethel, ME, 4217",1066.0,17.0,7453225.0,44.411957,-70.79525,True,Exact,"28 MAYVILLE RD, BETHEL, ME, 04217",L,23.0,640097530.0,965900.0,Census
"1100 Columbine Dr, Holton, KS, 66436",,,982017.0,39.479002,-95.7524463,True,ROOFTOP,,,,,,Google
"1250 Nevada St, Nixon, NV, 89424",,,7445847.0,39.824294200000004,-119.3695857,True,ROOFTOP,,,,,,Google
"404 King St, Cottonwood, ID, 83522",,,1401775.0,46.048361299999996,-116.3494848,True,ROOFTOP,,,,,,Google
"201 W Main St, Beulah, ND, 58523",,,7466768.0,47.2630429,-101.7805126,True,ROOFTOP,,,,,,Google
"425 W 3rd St, Chadron, NE, 69337",,,7530574.0,42.829553499999996,-103.00550679999999,True,ROOFTOP,,,,,,Google
"6950 Cypress Rd Ste 105, Fort Lauderdale, FL, 33317",,,7519797.0,26.123186899999997,-80.2406266,True,ROOFTOP,,,,,,Google
"229 E Main St, Grangeville, ID, 83530",,,1401778.0,45.925391999999995,-116.1171528,True,ROOFTOP,,,,,,Google
"4400 N State Road 7, Pompano Beach, FL, 33073",,,7463859.0,26.2842572,-80.2020321,True,RANGE_INTERPOLATED,,,,,,Google
"599 Farrington Hwy, Kapolei, HI, 96707",1006.0,3.0,3908154.0,21.345114000000002,-158.12171999999998,True,Exact,"599 FARRINGTON HWY, KAPOLEI, HI, 96707",R,15.0,635923546.0,8610.0,Census
"7003 Taft St, Hollywood, FL, 33024",2045.0,11.0,1797022.0,26.024372,-80.22784399999999,True,Exact,"7003 TAFT ST, HOLLYWOOD, FL, 33024",R,12.0,114715901.0,90700.0,Census
"2101 Vale Rd, San Pablo, CA, 94806",2022.0,13.0,670369.0,37.95436,-122.33711000000001,True,Exact,"2101 VALE RD, SAN PABLO, CA, 94806",L,6.0,607789155.0,369001.0,Census
"39050 Highway 299, Willow Creek, CA, 95573",1308.0,23.0,670367.0,40.942257,-123.64013,True,Non_Exact,"39050 STATE HWY 299, WILLOW CREEK, CA, 95573",R,6.0,113046097.0,10102.0,Census
"1580 Military Rd, Niagara Falls, NY, 14304",,,7366048.0,43.095622999999996,-78.9753095,True,ROOFTOP,,,,,,Google
"871 County Road 501, Bayfield, CO, 81122",,,7547655.0,37.242932200000006,-107.6020422,True,ROOFTOP,,,,,,Google
"5571 W Hillsboro Blvd, Pompano Beach, FL, 33073",1017.0,11.0,7611070.0,26.317615999999997,-80.20262,True,Non_Exact,"5571 W HILLSBORO BLVD, POMPANO BEACH, FL, 33073",R,12.0,636802925.0,10502.0,Census
"1255 Barkley Blvd Ste 107, Bellingham, WA, 98226",3006.0,73.0,2216157.0,48.77131,-122.45918999999999,True,Exact,"1255 BARKLEY BLVD, BELLINGHAM, WA, 98226",L,53.0,624911276.0,700.0,Census
"916 Gulick Ave, Honolulu, HI, 96819",2002.0,3.0,7449558.0,21.332956,-157.87984,True,Exact,"916 GULICK AVE, HONOLULU, HI, 96819",L,15.0,203234860.0,6000.0,Census
"20148 10th Ave NE, Poulsbo, WA, 98370",1012.0,35.0,7372713.0,47.74565,-122.63788600000001,True,Exact,"20148 10TH AVE NE, POULSBO, WA, 98370",R,53.0,639420397.0,90502.0,Census
"5901 Johnson St, Hollywood, FL, 33021",1021.0,11.0,7371867.0,26.017704000000002,-80.206024,True,Exact,"5901 JOHNSON ST, HOLLYWOOD, FL, 33021",R,12.0,639374003.0,91100.0,Census
"3398 Waialae Ave, Honolulu, HI, 96816",1003.0,3.0,1401704.0,21.285076,-157.80353,True,Exact,"3398 WAIALAE AVE, HONOLULU, HI, 96816",L,15.0,203242451.0,1201.0,Census
"601 W Main St, Holdenville, OK, 74848",1066.0,63.0,1411758.0,35.088234,-96.40646,True,Non_Exact,"601 W MAIN ST, HOLDENVILLE, OK, 74848",R,40.0,107327987.0,484800.0,Census
"3011 Hina Chata St, Jena, LA, 71342",,,4037953.0,31.6917235,-92.1555891,True,GEOMETRIC_CENTER,,,,,,Google
"1514 E Florence Blvd, Casa Grande, AZ, 85122",,,916115.0,32.8801755,-111.72202759999999,True,ROOFTOP,,,,,,Google
"736 S Main St, Camp Verde, AZ, 86322",3039.0,25.0,1395627.0,34.559925,-111.85313000000001,True,Exact,"736 S MAIN ST, CAMP VERDE, AZ, 86322",L,4.0,635911357.0,1601.0,Census
"900 S California Ave, Parker, AZ, 85344",2145.0,12.0,769408.0,34.151245,-114.2897,True,Non_Exact,"900 S CALIFORNIA AVE, PARKER, AZ, 85344",L,4.0,129736081.0,940200.0,Census
"3029 N Alma School Rd, Chandler, AZ, 85224",2011.0,13.0,769406.0,33.350163,-111.85909,True,Non_Exact,"3029 N ALMA SCHOOL RD, CHANDLER, AZ, 85224",R,4.0,128968527.0,422220.0,Census
"44350 Jackson St, Indio, CA, 92201",1035.0,65.0,700552.0,33.726902,-116.21631000000001,True,Exact,"44350 JACKSON ST, INDIO, CA, 92201",L,6.0,608980771.0,45303.0,Census
"307 3rd St NE, Parshall, ND, 58770",1112.0,61.0,7360751.0,47.957786999999996,-102.13807,True,Non_Exact,"307 3RD ST NW, PARSHALL, ND, 58770",L,38.0,200599070.0,940300.0,Census
"207 4th Ave NW, Roseau, MN, 56751",,,1425902.0,48.847246500000004,-95.7679176,True,RANGE_INTERPOLATED,,,,,,Google
"1530 N Country Club Dr Ste 20, Mesa, AZ, 85201",2002.0,13.0,769412.0,33.442993,-111.83983,True,Non_Exact,"1530 N COUNTRY CLUB DR, MESA, AZ, 85201",L,4.0,128778477.0,421101.0,Census
"20177 Highway 160, Durango, CO, 81301",2046.0,67.0,1525764.0,37.2691,-107.91263000000001,True,Non_Exact,"20177 US HWY 160, DURANGO, CO, 81301",L,8.0,91695962.0,970701.0,Census
"305 E Brown Rd, Mesa, AZ, 85201",2003.0,13.0,325495.0,33.435196000000005,-111.83831,True,Non_Exact,"305 W BROWN RD, MESA, AZ, 85201",L,4.0,128233816.0,421001.0,Census
"91 455 Ewa Beach Rd, Ewa Beach, HI, 96706",,,1401712.0,21.3116178,-158.0030483,True,ROOFTOP,,,,,,Google
"25 Kaneohe Bay Dr Ste 106, Kailua, HI, 96734",1000.0,3.0,2477667.0,21.422473999999998,-157.7488,True,Exact,"25 KANEOHE BAY DR, KAILUA, HI, 96734",R,15.0,645471239.0,10901.0,Census
"9924 W F St, Worley, ID, 83876",,,7591713.0,47.4003071,-116.9214601,True,ROOFTOP,,,,,,Google
