id,address,match,matchtype,parsed,tigerlineid,side,statefp,countyfp,tract,block,lat,lon
88,"N.E. CORNER OF HWY. 160 & 264, TUBA CITY, AZ, 86045",Google,ROOFTOP,,,,,,,,36.1186506,-111.2293946
1186,"11979 SOUTHWESTERN BOULEVARD, IRVING, NY, 14081",Google,ROOFTOP,,,,,,,,42.5693495,-79.10179839999999
990,"30 YATAHEY LOOP RD. (JCT. HWY. 491 & 264), YAHTAHEY, NM, 87375",Google,RANGE_INTERPOLATED,,,,,,,,37.8722591,-109.3380475
1613,"HC 49  BOX 10, PINE RIDGE, SD, 57770",Google,GEOMETRIC_CENTER,,,,,,,,43.0579916,-102.5757028
353,"5 MAIN STREET, HAVASU LAKE, CA, 92363",Google,ROOFTOP,,,,,,,,34.4830354,-114.4037478
991,"NM HWY. 197/NAVAJO RTE. 9 (27 MILES WEST OF CUBA N.W.), TORREON, NM, 87313",Google,GEOMETRIC_CENTER,,,,,,,,35.8923941,-107.1569618
1577,"U.S. 212, EAGLE BUTTE, SD, 57625",Google,GEOMETRIC_CENTER,,,,,,,,45.0081234,-101.2225558
1610,"2061 BIA HWY. 2, KYLE, SD, 57752",False,,,,,,,,,,
752,"HWY. 2 & 7TH ST., BROCKTON, MT, 59255",Google,GEOMETRIC_CENTER,,,,,,,,48.149139,-104.9145239
1576,"U.S. 212, EAGLE BUTTE, SD, 57625",Google,GEOMETRIC_CENTER,,,,,,,,45.0081234,-101.2225558
1058,"1001 US Highway 395 N, Gardnerville, NV, 89410",Google,RANGE_INTERPOLATED,,,,,,,,38.9103028,-119.710146
116,"450 QUECHAN DR., YUMA, AZ, 85364",Google,ROOFTOP,,,,,,,,32.7336016,-114.61543
910,"JCT HWYS 494 & 64, SHIPROCK, NM, 87420",Google,GEOMETRIC_CENTER,,,,,,,,36.784113,-108.6757
519,"116 CHITIMACHA LOOP, CHARENTON, LA, 70523",Google,RANGE_INTERPOLATED,,,,,,,,29.8872403,-91.5284302
1614,"E. U.S. HWY. 18, PINE RIDGE, SD, 57770",Google,GEOMETRIC_CENTER,,,,,,,,43.026034,-102.551092
1231,"12501 N HWY 177, NEWKIRK, OK, 74647",Google,RANGE_INTERPOLATED,,,,,,,,35.724548,-97.0176291
120,"HWY. 160, TUBA CITY, AZ, 86044",Google,GEOMETRIC_CENTER,,,,,,,,36.1211034,-111.2270903
121,"HWY. 160 (22 MILES NORTHEAST OF TUBA CITY), TONALEA, AZ, 86044",Google,RANGE_INTERPOLATED,,,,,,,,36.1193329,-111.2292394
484,"1823 HWY. 95, WINCHESTER, ID, 83555",Google,ROOFTOP,,,,,,,,44.0281297,-116.9238867
