IMPAQ_ID,DBA Name,DBA Name_changes,DBA Name_update,Address Line 1,Address Line 1_changes,Address Line 1_update,City,City_changes,City_update,State,State_changes,State_update,Zip,Zip_changes,Zip_update,Latitude,Latitude_changes,Latitude_update,Longitude,Longitude_changes,Longitude_update,Full Address,Full Address_changes,Full Address_update,County,County_changes,County_update,Business Status,Business Status_changes,Business Status_update,On Tribe Land,On Tribe Land_changes,On Tribe Land_update,Address Line 2,matchsource,est_id,found_pic,Manual Result,Coordinates,Miles to Nearest Tribe,Assoc Tribe,Assoc Res,Nearest Tribe,Nearest Res,ori_flg,Owner Name,Owner City,Owner State,Non-Corporate Owned,Niel_id
604,DACOTAH RIDGE GOLF CLUB,Correct,DACOTAH RIDGE GOLF CLUB,31042 COUNTY ROAD 2,Correct,31042 COUNTY ROAD 2,MORTON,Correct,MORTON,MN,Correct,MN,56270,Correct,56270,44.58517935,Correct,44.58517935,-95.05473048,Correct,-95.05473048,"31042 COUNTY ROAD 2  MORTON, MN 56270",Correct,"31042 COUNTY ROAD 2 MORTON, MN 56270",,Correct,RENVILLE,In Operation,No changes,In Operation,Yes,No,No,,Original,604.0,,,POINT (-95.05473048 44.58517935),3.668106575264241,,,Lower Sioux,Lower Sioux Indian Community,From Original List,,,,,
605,BROKEN ARROW RESORT,Correct,BROKEN ARROW RESORT,2832 CO. ROAD 110,Correct,2832 CO. ROAD 110,NAYTAHWAUSH,Correct,NAYTAHWAUSH,MN,Correct,MN,56566,Correct,56566,47.23465574,Correct,47.23465574,-95.60684029,Correct,-95.60684029,"2832 CO. ROAD 110  NAYTAHWAUSH, MN 56566",Correct,"2832 CO. ROAD 110 NAYTAHWAUSH, MN 56566",,Correct,MAHNOMEN,In Operation,No changes,In Operation,Yes,No changes,Yes,,Original,605.0,,,POINT (-95.60684028999999 47.23465574),0.0,White Earth,White Earth Reservation,,,From Original List,,,,,
606,VILLAGE STORE,Correct,VILLAGE STORE,230 SHORE AVENUE,Correct,230 SHORE AVENUE,NAYTAHWAUSH,Correct,NAYTAHWAUSH,MN,Correct,MN,56566,Correct,56566,47.26506181,Correct,47.26506181,-95.63143673,Correct,-95.63143673,"230 SHORE AVENUE  NAYTAHWAUSH, MN 56566",Correct,"230 SHORE AVENUE NAYTAHWAUSH, MN 56566",,Correct,MAHNOMEN,In Operation,No changes,In Operation,Yes,No changes,Yes,,Original,606.0,,,POINT (-95.63143673 47.26506181),0.0,White Earth,White Earth Reservation,,,From Original List,,,,,
607,PINEHURST RESORT AND CAMPGROUND,Correct,PINEHURST RESORT AND CAMPGROUND,27245 COUNTY ROAD 4,27345 CO RD 4,27345 CO RD 4,NAYTAHWAUSH,Correct,NAYTAHWAUSH,MN,Correct,MN,56566,Correct,56566,47.24602317,47.2460992,47.2460992,-95.6371834,-95.6432759,-95.6432759,"27245 COUNTY ROAD 4  NAYTAHWAUSH, MN 56566","27345 Co Rd 4, Naytahwaush, MN 56566, USA","27345 Co Rd 4, Naytahwaush, MN 56566, USA",,Correct,MAHNOMEN,In Operation,No changes,In Operation,Yes,No changes,Yes,,Original,607.0,,,POINT (-95.64327590000001 47.2460992),0.0,White Earth,White Earth Reservation,,,From Original List,,,,,
608,STRAWBERRY LAKE STORE,Correct,STRAWBERRY LAKE STORE,32000 COUNTY ROAD 143,Correct,32000 COUNTY ROAD 143,OGEMA,Correct,OGEMA,MN,Correct,MN,56569,Correct,56569,47.04991704,Correct,47.04991704,-95.72135996,Correct,-95.72135996,"32000 COUNTY ROAD 143  OGEMA, MN 56569",Correct,"32000 COUNTY ROAD 143 OGEMA, MN 56569",,Correct,BECKER,In Operation,No changes,In Operation,Yes,No changes,Yes,,Original,608.0,,,POINT (-95.72135996 47.04991704),0.0,White Earth,White Earth Reservation,,,From Original List,,,,,
609,TRAILSIDE WINE & SPIRITS,Correct,TRAILSIDE WINE & SPIRITS,208 WALL ST. S. PO BOX 364,Correct,208 WALL ST. S. PO BOX 364,ONAMIA,Correct,ONAMIA,MN,Correct,MN,56359,Correct,56359,46.07065218,Correct,46.07065218,-93.66000809,Correct,-93.66000809,"208 WALL ST. S. PO BOX 364  ONAMIA, MN 56359",Correct,"208 WALL ST. S. PO BOX 364 ONAMIA, MN 56359",,Correct,MILLE LACS,In Operation,Out of Business,Out of Business,Unknown,Yes,Yes,,Original,609.0,,,POINT (-93.66000809000001 46.07065218),0.0,Mille Lacs,Mille Lacs Reservation,,,From Original List,,,,,
610,SCENIC STORE,Correct,SCENIC STORE,3070 SCENIC HWY. N.E.,Correct,3070 SCENIC HWY. N.E.,PENNINGTON,Correct,PENNINGTON,MN,Correct,MN,56663,Correct,56663,47.4932107,Correct,47.4932107,-94.47952241,Correct,-94.47952241,"3070 SCENIC HWY. N.E.  PENNINGTON, MN 56663",Correct,"3070 SCENIC HWY. N.E. PENNINGTON, MN 56663",,Correct,BELTRAMI,In Operation,No changes,In Operation,Yes,No changes,Yes,,Original,610.0,,,POINT (-94.47952241 47.4932107),0.0,Leech Lake,Leech Lake Reservation,,,From Original List,,,,,
611,TAMARAC RESORT & CAMPGROUND,Correct,TAMARAC RESORT & CAMPGROUND,32152 COUNTY HWY. 35,Correct,32152 COUNTY HWY. 35,PONSFORD,Correct,PONSFORD,MN,Correct,MN,56575,Correct,56575,47.03850463,Correct,47.03850463,-95.55761145,Correct,-95.55761145,"32152 COUNTY HWY. 35  PONSFORD, MN 56575",Correct,"32152 COUNTY HWY. 35 PONSFORD, MN 56575",,Correct,BECKER,In Operation,No changes,In Operation,Yes,No changes,Yes,,Original,611.0,,,POINT (-95.55761145 47.03850463),0.0,White Earth,White Earth Reservation,,,From Original List,,,,,
612,CHARLIE'S ON PRIOR,Correct,CHARLIE'S ON PRIOR,3950 GREEN HEIGHTS TRAIL S.W.,Correct,3950 GREEN HEIGHTS TRAIL S.W.,PRIOR LAKE,Correct,PRIOR LAKE,MN,Correct,MN,55372,Correct,55372,44.71039,Correct,44.71039,-93.44164,Correct,-93.44164,"3950 GREEN HEIGHTS TRAIL S.W.  PRIOR LAKE, MN 55372",Correct,"3950 GREEN HEIGHTS TRAIL S.W. PRIOR LAKE, MN 55372",,Correct,SCOTT,In Operation,No changes,In Operation,Yes,No,No,,Original,612.0,,,POINT (-93.44164000000001 44.71039),1.2090642939927996,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Off-Reservation Trust Land,From Original List,,,,,
613,CROOKS CIGARETTES PREMIUM CIGARS,Correct,CROOKS CIGARETTES PREMIUM CIGARS,2461 SIOUX TR. N.W.,Correct,2461 SIOUX TR. N.W.,PRIOR LAKE,Correct,PRIOR LAKE,MN,Correct,MN,55372,Correct,55372,44.73693287,Correct,44.73693287,-93.47214754,Correct,-93.47214754,"2461 SIOUX TR. N.W.  PRIOR LAKE, MN 55372",Correct,"2461 SIOUX TR. N.W. PRIOR LAKE, MN 55372",,Correct,SCOTT,In Operation,No changes,In Operation,Yes,No changes,Yes,,Original,613.0,,,POINT (-93.47214753999999 44.73693287),0.0,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Community,,,From Original List,,,,,
614,DAKOTA LIQUORS,Correct,DAKOTA LIQUORS,14065 COMMERCE AVE. N.E.,Correct,14065 COMMERCE AVE. N.E.,PRIOR LAKE,Correct,PRIOR LAKE,MN,Correct,MN,55372,Correct,55372,44.74547642,Correct,44.74547642,-93.38029981,Correct,-93.38029981,"14065 COMMERCE AVE. N.E.  PRIOR LAKE, MN 55372",Correct,"14065 COMMERCE AVE. N.E. PRIOR LAKE, MN 55372",,Correct,SCOTT,In Operation,No changes,In Operation,Yes,No,No,,Original,614.0,1.0,yes,POINT (-93.38029981 44.74547642),3.0767157467922126,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Off-Reservation Trust Land,From Original List,,,,,
615,DOHERTYS,Correct,DOHERTYS,22000 PANAMA AVE.,Correct,22000 PANAMA AVE.,PRIOR LAKE,Correct,PRIOR LAKE,MN,Correct,MN,55372,Correct,55372,44.63091181,Correct,44.63091181,-93.44078821,Correct,-93.44078821,"22000 PANAMA AVE.  PRIOR LAKE, MN 55372",Correct,"22000 PANAMA AVE. PRIOR LAKE, MN 55372",,Correct,SCOTT,In Operation,No changes,In Operation,Yes,No,No,,Original,615.0,1.0,maybe,POINT (-93.44078820999999 44.63091181),5.794259282873028,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Off-Reservation Trust Land,From Original List,,,,,
616,HOLIDAY,HOLIDAY STATIONSTORES,HOLIDAY STATIONSTORES,16800 DULUTH AVE. S.E.,Correct,16800 DULUTH AVE. S.E.,PRIOR LAKE,Correct,PRIOR LAKE,MN,Correct,MN,55372,Correct,55372,44.70586129,Correct,44.70586129,-93.43041002,Correct,-93.43041002,"16800 DULUTH AVE. S.E.  PRIOR LAKE, MN 55372",Correct,"16800 DULUTH AVE. S.E. PRIOR LAKE, MN 55372",,Correct,SCOTT,In Operation,No changes,In Operation,Yes,No,No,,Original,616.0,1.0,yes,POINT (-93.43041002 44.70586129),1.6312053379550124,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Community,From Original List,,,,,
617,HOLIDAY STATIONSTORE # 391,Can't Validate,HOLIDAY STATIONSTORE # 391,4460 FOUNTAIN HILLS DR. N.E.,Can't Validate,4460 FOUNTAIN HILLS DR. N.E.,PRIOR LAKE,Can't Validate,PRIOR LAKE,MN,Can't Validate,MN,55372,Can't Validate,55372,44.74608796,Can't Validate,44.74608796,-93.43010425,Can't Validate,-93.43010425,"4460 FOUNTAIN HILLS DR. N.E.  PRIOR LAKE, MN 55372",Can't Validate,"4460 FOUNTAIN HILLS DR. N.E. PRIOR LAKE, MN 55372",,Can't Validate,SCOTT,In Operation,Can't Validate,In Operation,Yes,No,No,,Original,617.0,,,POINT (-93.43010425 44.74608796),0.5145166599692781,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Off-Reservation Trust Land,From Original List,,,,,
618,LEGENDS,LEGENDS GOLF CLUB,LEGENDS GOLF CLUB,8670 CREDIT RIVER BLVD.,Correct,8670 CREDIT RIVER BLVD.,PRIOR LAKE,Correct,PRIOR LAKE,MN,Correct,MN,55372,Correct,55372,44.66894412,Correct,44.66894412,-93.34472265,Correct,-93.34472265,"8670 CREDIT RIVER BLVD.  PRIOR LAKE, MN 55372",Correct,"8670 CREDIT RIVER BLVD. PRIOR LAKE, MN 55372",,Correct,SCOTT,Out of Business,In Operation,In Operation,Yes,No,No,,Original,618.0,0.0,,POINT (-93.34472264999999 44.66894412),7.328348217837116,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Community,From Original List,,,,,
619,LITTLE SIX CASINO,Correct,LITTLE SIX CASINO,2354 SIOUX TR. N.W.,2450 SIOUX TRAIL NW,2450 SIOUX TRAIL NW,PRIOR LAKE,Correct,PRIOR LAKE,MN,Correct,MN,55372,Correct,55372,44.73692387,44.7369323,44.7369323,-93.47263318,-93.4742462,-93.4742462,"2354 SIOUX TR. N.W.  PRIOR LAKE, MN 55372","2450 Sioux Trail NW, Prior Lake, MN 55372, USA","2450 Sioux Trail NW, Prior Lake, MN 55372, USA",,Correct,SCOTT,In Operation,No changes,In Operation,Yes,No changes,Yes,,Original,619.0,,,POINT (-93.47424620000001 44.7369323),0.0,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Community,,,From Original List,,,,,
620,MGM WINE & SPIRITS,Correct,MGM WINE & SPIRITS,14173 COMMERCE AVE. N.E.,"1437, 14173 COMMERCE AVE NE","1437, 14173 COMMERCE AVE NE",PRIOR LAKE,Correct,PRIOR LAKE,MN,Correct,MN,55372,Correct,55372,44.74407348,44.74405910000001,44.74405910000001,-93.38029981,-93.380498,-93.380498,"14173 COMMERCE AVE. N.E.  PRIOR LAKE, MN 55372","1437, 14173 Commerce Ave NE, Prior Lake, MN 55372, USA","1437, 14173 Commerce Ave NE, Prior Lake, MN 55372, USA",,Correct,SCOTT,In Operation,No changes,In Operation,Yes,No,No,,Original,620.0,,,POINT (-93.380498 44.74405910000001),3.0857278500729963,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Off-Reservation Trust Land,From Original List,,,,,
621,SHELL,Correct,SHELL,4805 DAKOTA ST. S.E.,Correct,4805 DAKOTA ST. S.E.,PRIOR LAKE,Correct,PRIOR LAKE,MN,Correct,MN,55372,Correct,55372,44.71428794,Correct,44.71428794,-93.42308954,Correct,-93.42308954,"4805 DAKOTA ST. S.E.  PRIOR LAKE, MN 55372",Correct,"4805 DAKOTA ST. S.E. PRIOR LAKE, MN 55372",,Correct,SCOTT,In Operation,No changes,In Operation,Yes,No,No,,Original,621.0,,,POINT (-93.42308954000001 44.71428794),1.4408844881243037,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Community,From Original List,,,,,
622,SHAKOPEE DAKOTA CONVENIENCE STORE,Correct,SHAKOPEE DAKOTA CONVENIENCE STORE,14160 WILDS PATH NW.,Correct,14160 WILDS PATH NW.,PRIOR LAKE,Correct,PRIOR LAKE,MN,Correct,MN,55372,Correct,55372,44.74486489,Correct,44.74486489,-93.46880207,Correct,-93.46880207,"14160 WILDS PATH NW.  PRIOR LAKE, MN 55372",Correct,"14160 WILDS PATH NW. PRIOR LAKE, MN 55372",,Correct,SCOTT,In Operation,No changes,In Operation,Yes,No,No,,Original,622.0,,,POINT (-93.46880207 44.74486489),0.368250697482654,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Community,From Original List,,,,,
623,SHAKOPEE DAKOTA CONVIENCE,Correct,SHAKOPEE DAKOTA CONVIENCE,15035 MYSTIC LAKE DR. N.W.,Correct,15035 MYSTIC LAKE DR. N.W.,PRIOR LAKE,Correct,PRIOR LAKE,MN,Correct,MN,55372,Correct,55372,44.73186969,Correct,44.73186969,-93.46898193,Correct,-93.46898193,"15035 MYSTIC LAKE DR. N.W.  PRIOR LAKE, MN 55372",Correct,"15035 MYSTIC LAKE DR. N.W. PRIOR LAKE, MN 55372",,Correct,SCOTT,In Operation,No changes,In Operation,Yes,No changes,Yes,,Original,623.0,,,POINT (-93.46898193 44.73186969),0.0,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Off-Reservation Trust Land,,,From Original List,,,,,
624,THE WILDS GOLF CLUB,Correct,THE WILDS GOLF CLUB,3151 WILDS RIDGE,3151 WILDS RIDGE CT,3151 WILDS RIDGE CT,PRIOR LAKE,Correct,PRIOR LAKE,MN,Correct,MN,55372,Correct,55372,44.73931607,44.7362998,44.7362998,-93.4561666,-93.4586703,-93.4586703,"3151 WILDS RIDGE  PRIOR LAKE, MN 55372","3151 Wilds Ridge Ct, Prior Lake, MN 55372, USA","3151 Wilds Ridge Ct, Prior Lake, MN 55372, USA",,Correct,SCOTT,Out of Business,In Operation,In Operation,Yes,No,No,,Original,624.0,,,POINT (-93.45867029999999 44.7362998),0.27752679929364554,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Community,From Original List,,,,,
625,VIKING LIQUOR BARREL,Correct,VIKING LIQUOR BARREL,16290 HIGHWAY 13 S.E.,Correct,16290 HIGHWAY 13 S.E.,PRIOR LAKE,Correct,PRIOR LAKE,MN,Correct,MN,55372,Correct,55372,44.71319,Correct,44.71319,-93.42365,Correct,-93.42365,"16290 HIGHWAY 13 S.E.  PRIOR LAKE, MN 55372",Correct,"16290 HIGHWAY 13 S.E. PRIOR LAKE, MN 55372",,Correct,SCOTT,In Operation,No changes,In Operation,Yes,No,No,,Original,625.0,,,POINT (-93.42364999999999 44.71319),1.4643070708917252,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Community,From Original List,,,,,
626,VILLAGE LIQUOR,Correct,VILLAGE LIQUOR,16731 HIGHWAY 13 S. STE. 102,Correct,16731 HIGHWAY 13 S. STE. 102,PRIOR LAKE,Correct,PRIOR LAKE,MN,Correct,MN,55372,Correct,55372,44.70672464,Correct,44.70672464,-93.42857541,Correct,-93.42857541,"16731 HIGHWAY 13 S. STE. 102  PRIOR LAKE, MN 55372",Correct,"16731 HIGHWAY 13 S. STE. 102 PRIOR LAKE, MN 55372",,Correct,SCOTT,In Operation,No changes,In Operation,Yes,No,No,,Original,626.0,,,POINT (-93.42857540999999 44.70672464),1.6269429437349174,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Community,From Original List,,,,,
627,RICHWOOD OFF-SALE,Correct,RICHWOOD OFF-SALE,27343 COUNTY HWY. 34,27799 CO HWY 34,27799 CO HWY 34,CALLAWAY,Correct,CALLAWAY,MN,Correct,MN,56521,Correct,56521,46.9750395,46.9748039,46.9748039,-95.81211053,-95.8108633,-95.8108633,"27343 COUNTY HWY. 34  CALLAWAY, MN 56521","27799 Co Hwy 34, Callaway, MN 56521, USA","27799 Co Hwy 34, Callaway, MN 56521, USA",,Correct,BECKER,In Operation,No changes,In Operation,Yes,No,No,,Original,627.0,,,POINT (-95.81086329999999 46.9748039),0.15980209365983222,,,White Earth,White Earth Reservation,From Original List,,,,,
628,ARNIES FRIENDLY FOLKS CLUB,Correct,ARNIES FRIENDLY FOLKS CLUB,122 1ST AVE. E.,Correct,122 1ST AVE. E.,SHAKOPEE,Correct,SHAKOPEE,MN,Correct,MN,55379,Correct,55379,44.79851844,Correct,44.79851844,-93.52587302,Correct,-93.52587302,"122 1ST AVE. E.  SHAKOPEE, MN 55379",Correct,"122 1ST AVE. E. SHAKOPEE, MN 55379",,Correct,SCOTT,In Operation,No changes,In Operation,Yes,No,No,,Original,628.0,,,POINT (-93.52587302000001 44.79851844),3.7897612851989626,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Off-Reservation Trust Land,From Original List,,,,,
629,CANTERBURY PARK,Correct,CANTERBURY PARK,1100 CANTERBURY RD.,Correct,1100 CANTERBURY RD.,SHAKOPEE,Correct,SHAKOPEE,MN,Correct,MN,55379,Correct,55379,44.7872859,Correct,44.7872859,-93.47350551,Correct,-93.47350551,"1100 CANTERBURY RD.  SHAKOPEE, MN 55379",Correct,"1100 CANTERBURY RD. SHAKOPEE, MN 55379",,Correct,SCOTT,In Operation,No changes,In Operation,Yes,No,No,,Original,629.0,,,POINT (-93.47350551 44.7872859),0.7948551396737408,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Off-Reservation Trust Land,From Original List,,,,,
630,CROSSROADS LIQUOR,CUB LIQUOR,CUB LIQUOR,1262 VIERLING DR. E.,Correct,1262 VIERLING DR. E.,SHAKOPEE,Correct,SHAKOPEE,MN,Correct,MN,55379,Correct,55379,44.77990247,Correct,44.77990247,-93.5064027,Correct,-93.5064027,"1262 VIERLING DR. E.  SHAKOPEE, MN 55379",Correct,"1262 VIERLING DR. E. SHAKOPEE, MN 55379",,Correct,SCOTT,Out of Business,In Operation,In Operation,Yes,No,No,,Original,630.0,1.0,yes,POINT (-93.5064027 44.77990247),2.2144197484857417,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Off-Reservation Trust Land,From Original List,,,,,
631,CUB FOODS,Correct,CUB FOODS,1198 VIERLING DR. E.,Correct,1198 VIERLING DR. E.,SHAKOPEE,Correct,SHAKOPEE,MN,Correct,MN,55379,Correct,55379,44.78062193,Correct,44.78062193,-93.50911866,Correct,-93.50911866,"1198 VIERLING DR. E.  SHAKOPEE, MN 55379",Correct,"1198 VIERLING DR. E. SHAKOPEE, MN 55379",,Correct,SCOTT,In Operation,No changes,In Operation,Yes,No,No,,Original,631.0,,,POINT (-93.50911866 44.78062193),2.3003627450246547,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Off-Reservation Trust Land,From Original List,,,,,
632,CVS / PHARMACY,Correct,CVS / PHARMACY,4050 DEAN LAKES BLVD.,Correct,4050 DEAN LAKES BLVD.,SHAKOPEE,Correct,SHAKOPEE,MN,Correct,MN,55379,Correct,55379,44.77849953,Correct,44.77849953,-93.46867616,Correct,-93.46867616,"4050 DEAN LAKES BLVD.  SHAKOPEE, MN 55379",Correct,"4050 DEAN LAKES BLVD. SHAKOPEE, MN 55379",,Correct,SCOTT,Out of Business,In Operation,In Operation,Yes,No,No,,Original,632.0,,,POINT (-93.46867616 44.77849953),0.1788086145376822,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Off-Reservation Trust Land,From Original List,,,,,
633,SHAKOPEE EAGLES AERIE #4120,Can't Validate,SHAKOPEE EAGLES AERIE #4120,220 WEST 2ND AVE.,Can't Validate,220 WEST 2ND AVE.,SHAKOPEE,Can't Validate,SHAKOPEE,MN,Can't Validate,MN,55379,Can't Validate,55379,44.79762811,Can't Validate,44.79762811,-93.52468591,Can't Validate,-93.52468591,"220 WEST 2ND AVE.  SHAKOPEE, MN 55379",Can't Validate,"220 WEST 2ND AVE. SHAKOPEE, MN 55379",,Can't Validate,SCOTT,In Operation,Can't Validate,In Operation,Yes,No,No,,Original,633.0,,,POINT (-93.52468591 44.79762811),3.7033176169454136,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Off-Reservation Trust Land,From Original List,,,,,
634,HENNENS/MINNOCO,Correct,HENNENS/MINNOCO,807 1ST AVE. E.,Correct,807 1ST AVE. E.,SHAKOPEE,Correct,SHAKOPEE,MN,Correct,MN,55379,Correct,55379,44.8002901,Correct,44.8002901,-93.51646611,Correct,-93.51646611,"807 1ST AVE. E.  SHAKOPEE, MN 55379",Correct,"807 1ST AVE. E. SHAKOPEE, MN 55379",,Correct,SCOTT,In Operation,No changes,In Operation,Yes,No,No,,Original,634.0,1.0,yes,POINT (-93.51646611 44.8002901),3.4565762873403867,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Off-Reservation Trust Land,From Original List,,,,,
635,HOLIDAY STATIONSTORE # 246,Can't Validate,HOLIDAY STATIONSTORE # 246,12681 CHESTNUT BLVD.,Can't Validate,12681 CHESTNUT BLVD.,SHAKOPEE,Can't Validate,SHAKOPEE,MN,Can't Validate,MN,55379,Can't Validate,55379,44.767267,Can't Validate,44.767267,-93.57829449,Can't Validate,-93.57829449,"12681 CHESTNUT BLVD.  SHAKOPEE, MN 55379",Can't Validate,"12681 CHESTNUT BLVD. SHAKOPEE, MN 55379",,Can't Validate,SCOTT,In Operation,Can't Validate,In Operation,Yes,No,No,,Original,635.0,,,POINT (-93.57829449 44.767267),5.293609890485414,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Off-Reservation Trust Land,From Original List,,,,,
636,HOLIDAY STATIONSTORE #250,Can't Validate,HOLIDAY STATIONSTORE #250,1381 GREENWOOD CT.,Can't Validate,1381 GREENWOOD CT.,SHAKOPEE,Can't Validate,SHAKOPEE,MN,Can't Validate,MN,55379,Can't Validate,55379,44.77428171,Can't Validate,44.77428171,-93.50621385,Can't Validate,-93.50621385,"1381 GREENWOOD CT.  SHAKOPEE, MN 55379",Can't Validate,"1381 GREENWOOD CT. SHAKOPEE, MN 55379",,Can't Validate,SCOTT,In Operation,Can't Validate,In Operation,Yes,No,No,,Original,636.0,,,POINT (-93.50621384999999 44.77428171),1.852554475964983,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Off-Reservation Trust Land,From Original List,,,,,
637,HOLIDAY PANTRY,Correct,HOLIDAY PANTRY,8002 OLD CARRIAGE COURT,8002 OLD CARRIAGE CT N,8002 OLD CARRIAGE CT N,SHAKOPEE,Correct,SHAKOPEE,MN,Correct,MN,55379,Correct,55379,44.77569364,44.7757735,44.7757735,-93.4163716,-93.4166863,-93.4166863,"8002 OLD CARRIAGE COURT  SHAKOPEE, MN 55379","8002 Old Carriage Ct N, Shakopee, MN 55379, USA","8002 Old Carriage Ct N, Shakopee, MN 55379, USA",,Correct,SCOTT,In Operation,No changes,In Operation,Yes,No,No,,Original,637.0,1.0,yes,POINT (-93.41668629999999 44.7757735),1.4206134597833249,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Off-Reservation Trust Land,From Original List,,,,,
638,HOLIDAY,Correct,HOLIDAY,3901 EAGLE CREEK BLVD.,3901 EAGLE CREEK BLVD,3901 EAGLE CREEK BLVD,SHAKOPEE,Correct,SHAKOPEE,MN,Correct,MN,55379,55378,55378,44.77990247,44.77966,44.77966,-93.47057372,-93.4704092,-93.4704092,"3901 EAGLE CREEK BLVD.  SHAKOPEE, MN 55379","3901 Eagle Creek Blvd, Shakopee, MN 55378, USA","3901 Eagle Creek Blvd, Shakopee, MN 55378, USA",,Correct,SCOTT,In Operation,No changes,In Operation,Yes,No,No,,Original,638.0,1.0,yes,POINT (-93.47040920000001 44.77966),0.2598744084946079,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Off-Reservation Trust Land,From Original List,,,,,
639,HOLIDAY STATIONSTORE #83,Can't Validate,HOLIDAY STATIONSTORE #83,444 1ST AVE. E.,Can't Validate,444 1ST AVE. E.,SHAKOPEE,Can't Validate,SHAKOPEE,MN,Can't Validate,MN,55379,Can't Validate,55379,44.79906702,Can't Validate,44.79906702,-93.52141238,Can't Validate,-93.52141238,"444 1ST AVE. E.  SHAKOPEE, MN 55379",Can't Validate,"444 1ST AVE. E. SHAKOPEE, MN 55379",,Can't Validate,SCOTT,In Operation,Can't Validate,In Operation,Yes,No,No,,Original,639.0,,,POINT (-93.52141238 44.79906702),3.701869266511277,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Off-Reservation Trust Land,From Original List,,,,,
640,KWIK TRIP # 441,Can't Validate,KWIK TRIP # 441,1522 VIERLING DR. E.,Can't Validate,1522 VIERLING DR. E.,SHAKOPEE,Can't Validate,SHAKOPEE,MN,Can't Validate,MN,55379,Can't Validate,55379,44.78051401,Can't Validate,44.78051401,-93.50419937,Can't Validate,-93.50419937,"1522 VIERLING DR. E.  SHAKOPEE, MN 55379",Can't Validate,"1522 VIERLING DR. E. SHAKOPEE, MN 55379",,Can't Validate,SCOTT,In Operation,Can't Validate,In Operation,Yes,No,No,,Original,640.0,,,POINT (-93.50419936999999 44.78051401),2.2311301158433725,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Off-Reservation Trust Land,From Original List,,,,,
641,PAYLESS GAS,SHELL SHAKOPEE,SHELL SHAKOPEE,312 WEST 1ST AVE.,Correct,312 WEST 1ST AVE.,SHAKOPEE,Correct,SHAKOPEE,MN,Correct,MN,55379,Correct,55379,44.79921991,Correct,44.79921991,-93.52330096,Correct,-93.52330096,"312 WEST 1ST AVE.  SHAKOPEE, MN 55379",Correct,"312 WEST 1ST AVE. SHAKOPEE, MN 55379",,Correct,SCOTT,In Operation,No changes,In Operation,Yes,No,No,,Original,641.0,1.0,yes,POINT (-93.52330096 44.79921991),3.759497234993845,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Off-Reservation Trust Land,From Original List,,,,,
642,PULLMAN CLUB,Correct,PULLMAN CLUB,124 1ST AVE. W.,Correct,124 1ST AVE. W.,SHAKOPEE,Correct,SHAKOPEE,MN,Correct,MN,55379,Correct,55379,44.79852743,Correct,44.79852743,-93.5274828,Correct,-93.5274828,"124 1ST AVE. W.  SHAKOPEE, MN 55379",Correct,"124 1ST AVE. W. SHAKOPEE, MN 55379",,Correct,SCOTT,In Operation,No changes,In Operation,Yes,No,No,,Original,642.0,,,POINT (-93.5274828 44.79852743),3.8384551988437687,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Off-Reservation Trust Land,From Original List,,,,,
