IMPAQ_ID,DBA Name_update,Full Address_update,Latitude_update,Longitude_update
2883,CHEVRON,"5 Miles E Globe Hwy 70, San Carlos, AZ, 85550",33.3568646,-110.66734550000001
2220,FORDS HANDI MART,"217 Attala Road 1015, Carthage, MS, 39051",32.9344673,-89.5498825
3247,OLINO BY CONSOLIDATED THEATRES,"91 5431 Kapolei Pkwy, Kapolei, HI, 96707",21.3336968,-158.0523533
2333,SWASEYS OTHER PLACE,"350 E Main St, Altamont, UT, 84001",40.3593956,-110.2265897
3074,DOLLAR TREE,"402 Carr Ln Ste B, Espanola, NM, 87532",36.01676,-106.06571000000001
2132,HOTEVILLA CO OP STORE,"1 Main St, Hotevilla, AZ, 86030",35.8628255,-110.62640149999999
2272,WESTERN GAS,"401 S Elm St, Toppenish, WA, 98948",46.3747474,-120.32087800000001
2588,WHITE OAK CASINO,"45830 Us Highway 2, Deer River, MN, 56636",47.339603000000004,-93.814674
1937,THOMPSONS LAKE COUNTRY DRUG,"205 Main St W, Isle, MN, 56342",46.1414474,-93.46198249999999
2434,BLUE BAR,"1981 N Winn Rd, Mount Pleasant, MI, 48858",43.612495,-84.90783
2727,BORDERLINE TOBACCO,"1622 State Route 37, Hogansburg, NY, 13655",44.967307399999996,-74.57250440000001
3030,FAMILY DOLLAR,"2337 W Edison St, Tulsa, OK, 74127",36.161274,-96.018776
3055,DOLLAR GENERAL,"110 N Carnegie St, Carnegie, OK, 73015",35.10741779999999,-98.60382829999999
2399,CABARET BAR,"1 Mohegan Sun Blvd, Uncasville, CT, 63821",41.492634,-72.09614599999998
2975,SASSYS TRUCK STOP,"2088 Route 219, Limestone, NY, 14753",42.090279100000004,-78.6289278
2784,GILA RIVER SERVICE STATION,"185 W Pima St, Sacaton, AZ, 85147",33.079357,-111.74071
2610,RAINBOW CASINO,"949 County Road G, Nekoosa, WI, 54457",44.2800173,-89.9639925
3112,WOODYS,"25 W Main St, Craigmont, ID, 83523",46.240617900000004,-116.4743821
3269,SALT RIVER FIELDS,"7555 N Pima Rd, Scottsdale, AZ, 85258",33.5458,-111.89146000000001
3248,WILD HORSE MOTORSPORTS PARK,"20000 S Maricopa Rd, Chandler, AZ, 85226",33.27152,-111.97146000000001
2939,EASTERN DOOR,"1285 State Route 37, Hogansburg, NY, 13655",44.968303999999996,-74.604345
2175,QUALITY FOODS FUEL CENTER,"4101 49th Ave NE, Tacoma, WA, 98422",47.293777,-122.38216000000001
2470,THE BUCKIN CHUTE,"427 S Dayton St, Omak, WA, 98841",48.405598,-119.52170600000001
2278,LOVES TRAVEL STOP,"1501 33rd Ave E, Tacoma, WA, 98424",47.199958,-122.3852453
2979,MURPHY EXPRESS,"1628 N Riverside Dr, Espanola, NM, 87532",35.98808,-106.060875
2457,RENDEZVOUS BAR,"2928 W Mason St, Green Bay, WI, 54313",44.523853,-88.121925
2121,SMITHS FUEL CENTER,"224 Paseo Del Pueblo Sur, Taos, NM, 87571",36.404022,-105.57427
2357,FAMILY DOLLAR,"W2820 Warrington Rd, Keshena, WI, 54135",44.870731,-88.620151
3097,HARRAHS DIAMOND LOUNGE,"15406 N Maricopa Rd, Maricopa, AZ, 85139",33.024727500000004,-112.0507482
2505,BLUE LAKE CASINO ALICES,"777 Casino Way, Blue Lake, CA, 95525",40.8847783,-123.9985301
2033,PALM CANYON SMOKE SHOP,"611 S Palm Canyon Dr Ste 20, Palm Springs, CA, 92264",33.80135300000001,-116.54109
2436,120 SOUTH COCKTAILS & TAPAS,"120 S University Ave, Mount Pleasant, MI, 48858",43.603594,-84.77543
2792,WALMART SUPERCENTER,"36318 Memory Ln, Polson, MT, 59860",47.6847076,-114.1211188
3121,THURSTON BAR,"101 N Main St, Thurston, NE, 68062",42.1773,-96.700806
2048,SMOKE & MART,"2120 Auburn Way N, Auburn, WA, 98002",47.290245,-122.20143999999999
3077,DOLLAR TREE,"2616 N 14th St, Ponca City, OK, 74601",36.73465,-97.06726
3032,CHEVRON,"18480 Suquamish Way NE, Suquamish, WA, 98392",47.729003999999996,-122.55888
2983,SPEEDWAY CONVENIENCE,"935 State Route 37, Hogansburg, NY, 13655",44.966606,-74.63266
2288,FARM MARKET,"94 E Main St, Duchesne, UT, 84021",40.1630909,-110.39995549999999
2831,SAFEWAY STORE,"40774 Mt Highway 35, Polson, MT, 59860",47.689133,-114.11873
3156,THE OFFICE,"118 E Broadway St, Anadarko, OK, 73005",35.07488,-98.24394000000001
2303,SHELL,"5501 20th St E, Tacoma, WA, 98424",47.23896,-122.35576
2102,QUALITY FOOD CENTER,"4101 49th Ave NE, Tacoma, WA, 98422",47.293777,-122.38216000000001
3207,AMERICAN LEGION,"407 W South Ave, Ponca City, OK, 74601",36.6956061,-97.0887575
2446,WAHKON INN,"235 N Main St, Wahkon, MN, 56386",46.119602,-93.52104
2425,CUE MASTER BAR,"307 S Superior Ave, Baraga, MI, 49908",46.777466,-88.489426
2305,CRUMBOS TEXACO,"133 N Main St, Roosevelt, UT, 84066",40.2940281,-109.9900804
2519,GARY PLAYER SIGNTAURE COURSE,"70705 Ramon Rd, Rancho Mirage, CA, 92270",33.81628,-116.413155
3271,LUCKY STRIKE LANES,"412 Main St SE, Ronan, MT, 59864",47.528744,-114.09156999999999
2822,FOOD PYRAMID,"904 S 4th St, Ponca City, OK, 74601",36.6947847,-97.08072920000001
2616,MEADOWS AT MYSTIC LAKE,"2400 Mystic Lake Blvd, Prior Lake, MN, 55372",44.726025,-93.47485
2374,DOLLAR TREE,"1717 E Vista Chino Bldg J, Palm Springs, CA, 92262",33.844852,-116.52793
