,IMPAQ_ID,DBA Name,DBA Name_changes,DBA Name_update,Address Line 1,Address Line 1_changes,Address Line 1_update,City,City_changes,City_update,State,State_changes,State_update,Zip,Zip_changes,Zip_update,Latitude,Latitude_changes,Latitude_update,Longitude,Longitude_changes,Longitude_update,Full Address,Full Address_changes,Full Address_update,County,County_changes,County_update,Address Line 2,matchsource,est_id,found_pic,Manual Result,biz_status,Coordinates,On Tribe Land,Miles to Nearest Tribe,Assoc Tribe,Assoc Res,Nearest Tribe,Nearest Res,ori_flg,Owner Name,Owner City,Owner State,Non-Corporate Owned,Niel_id
0,0,DISCOUNT TOBACCO OUTLET #110,Correct,No changes,3326 ATLANTA HWY,Correct,No changes,MONTGOMERY,Correct,No changes,AL,Correct,No changes,36109,Correct,No changes,32.38409418,Correct,No changes,-86.26177941,Correct,No changes,"3326 ATLANTA HWY  MONTGOMERY, AL 36109",Correct,No changes,MONTGOMERY,Correct,No changes,,Original,0.0,,,Can't validate,Can't validate,Can't validate,Can't validate,Can't validate,Can't validate,Can't validate,Can't validate,From Original List,,,,,
1,1,FAST LANE,Correct,FAST LANE OUTDOORS,3493 JACK SPRINGS RD,Correct,3493 JACK SPRINGS RD,ATMORE,Correct,ATMORE,AL,Correct,AL,36502,Correct,36502.0,31.07536691,Correct,31.07536691,-87.52319321,Correct,-87.52319321,"3493 JACK SPRINGS RD  ATMORE, AL 36502",Correct,"3493 JACK SPRINGS RD ATMORE, AL 36502",ESCAMBIA,Correct,ESCAMBIA,,Original,1.0,1.0,yes,Active,POINT (-87.52319321 31.07536691),No,2.1685175690717924,,,Poarch Creek,Poarch Creek Reservation,From Original List,,,,,
2,2,TOBACCO N BEVERAGE OUTLET 3 Package Store,Correct,TOBACCO N BEVERAGE OUTLET 3 Package Store,4220 MOBILE HWY,Correct,4220 MOBILE HWY,MONTGOMERY,Correct,MONTGOMERY,AL,Correct,AL,36108,Correct,36108.0,32.33069244,Correct,32.33069244,-86.34399543,Correct,-86.34399543,"4220 MOBILE HWY  MONTGOMERY, AL 36108",Correct,"4220 MOBILE HWY MONTGOMERY, AL 36108",MONTGOMERY,Correct,MONTGOMERY,,Original,2.0,,,Active,POINT (-86.34399543000001 32.33069244),No,14.647185686042867,,,Poarch Creek,Poarch Creek Off-Reservation Trust Land,From Original List,,,,,
3,3,DIAMOND FOOD MART / SHELL,Correct,DIAMOND FOOD MART / SHELL,1204 E NASHVILLE AVE,Correct,1204 E NASHVILLE AVE,ATMORE,Correct,ATMORE,AL,Correct,AL,36502,Correct,36502.0,31.02420487,Correct,31.02420487,-87.48084617,Correct,-87.48084617,"1204 E NASHVILLE AVE  ATMORE, AL 36502",Correct,"1204 E NASHVILLE AVE ATMORE, AL 36502",ESCAMBIA,Correct,ESCAMBIA,,Original,3.0,,,Active,POINT (-87.48084617000001 31.02420487),No,3.0685251476529376,,,Poarch Creek,Poarch Creek Off-Reservation Trust Land,From Original List,,,,,
4,4,Poarch Creek Indians Smoke Shop/CREEK SMOKE SHOP,Correct,Poarch Creek Indians Smoke Shop/CREEK SMOKE SHOP,116 POARCH ROAD,Correct,116 POARCH ROAD,ATMORE,Correct,ATMORE,AL,Correct,AL,36502,Correct,36502.0,31.101891600000002,Correct,31.101891600000002,-87.48272393,Correct,-87.48272393,"116 POARCH ROAD  ATMORE, AL 36502",Correct,"116 POARCH ROAD ATMORE, AL 36502",ESCAMBIA,Correct,ESCAMBIA,,Original,4.0,,,Active,POINT (-87.48272393000001 31.1018916),No,0.03323247747051316,,,Poarch Creek,Poarch Creek Reservation,From Original List,,,,,
5,5,THE CIGAR SHOPPE,Correct,THE CIGAR SHOPPE,5349 YOUNG BARN RD,Correct,5349 YOUNG BARN RD,MONTGOMERY,Correct,MONTGOMERY,AL,Correct,AL,36106,Correct,36106.0,32.3493084,Correct,32.3493084,-86.22338736,Correct,-86.22338736,"5349 YOUNG BARN RD  MONTGOMERY, AL 36106",Correct,"5349 YOUNG BARN RD MONTGOMERY, AL 36106",MONTGOMERY,Correct,MONTGOMERY,,Original,5.0,,,Active,POINT (-86.22338736 32.3493084),No,7.373339676528039,,,Poarch Creek,Poarch Creek Off-Reservation Trust Land,From Original List,,,,,
6,6,WIND CREEK CASINO & HOTEL,Correct,WIND CREEK CASINO & HOTEL,303 POARCH ROAD,Correct,303 POARCH ROAD,ATMORE,Correct,ATMORE,AL,Correct,AL,36502,Correct,36502.0,31.103343,Correct,31.103343,-87.48397,Correct,-87.48397,"303 POARCH ROAD  ATMORE, AL 36502",Correct,"303 POARCH ROAD ATMORE, AL 36502",ESCAMBIA,Correct,ESCAMBIA,,Original,6.0,1.0,yes,Active,POINT (-87.48397 31.103343),No,0.029634547977608183,,,Poarch Creek,Poarch Creek Reservation,From Original List,,,,,
7,7,CHEVRON/Diamond Food Mart,Correct,CHEVRON/Diamond Food Mart,303 HOWARD ST.,Correct,303 HOWARD ST.,ATMORE,Correct,ATMORE,AL,Correct,AL,36502,Correct,36502.0,31.029988,Correct,31.029988,-87.496241,Correct,-87.496241,"303 HOWARD ST.  ATMORE, AL 36502",Correct,"303 HOWARD ST. ATMORE, AL 36502",,Correct,ESCAMBIA,,Original,7.0,1.0,yes,Active,POINT (-87.496241 31.029988),No,2.764394629308394,,,Poarch Creek,Poarch Creek Off-Reservation Trust Land,From Original List,,,,,
8,8,CREEK CASINO MONTGOMERY,Correct,WIND CREEK MONTGOMERY,1801 EDDIE TULLIS DR.,Correct,1801 EDDIE L TULLIS RD,MONTGOMERY,Correct,MONTGOMERY,AL,Correct,AL,36117,Correct,36117.0,32.423746,Correct,32.4245456,-86.140129,Correct,-86.1389085,"1801 EDDIE TULLIS DR.  MONTGOMERY, AL 36117",Correct,"1801 Eddie L Tullis Rd, Montgomery, AL 36117, USA",,Correct,MONTGOMERY,,Original,8.0,,,Active,POINT (-86.1389085 32.4245456),No,0.042772101764366084,,,Poarch Creek,Poarch Creek Off-Reservation Trust Land,From Original List,,,,,
9,9,CCS Wetumpka/RIVERSIDE SMOKE SHOP,Correct,CCS Wetumpka/RIVERSIDE SMOKE SHOP,102 RIVER OAKS DR.,Correct,89 RIVER OAKS DR,WETUMPKA,Correct,WETUMPKA,AL,Correct,AL,36092,Correct,36092.0,32.525197,Correct,32.525877,-86.209731,Correct,-86.20896839999996,"102 RIVER OAKS DR.  WETUMPKA, AL 36092",Correct,"89 River Oaks Dr, Wetumpka, AL 36092, USA",,Correct,ELMORE,,Original,9.0,1.0,yes,Active,POINT (-86.20896839999996 32.525877),No,0.00903700513424495,,,Poarch Creek,Poarch Creek Reservation,From Original List,,,,,
10,10,WIND CREEK CASINO AND HOTEL,Correct,WIND CREEK WETUMPKA,100 RIVER OAKS DR.,Correct,100 RIVER OAKS DR.,WETUMPKA,Correct,WETUMPKA,AL,Correct,AL,36092,Correct,36092.0,32.525201,Correct,32.525201,-86.209727,Correct,-86.209727,"100 RIVER OAKS DR.  WETUMPKA, AL 36092",Correct,"100 RIVER OAKS DR. WETUMPKA, AL 36092",,Correct,ELMORE,,Original,10.0,1.0,yes,Active,POINT (-86.209727 32.525201),No,0.07027858619742616,,,Poarch Creek,Poarch Creek Reservation,From Original List,,,,,
11,11,Poarch Creek Indians Convenience/Creek Travel Plaza,Correct,Poarch Creek Indians Convenience/Creek Travel Plaza,4740 JACK SPRINGS RD.,Correct,4740 JACK SPRINGS RD.,ATMORE,Correct,ATMORE,AL,Correct,AL,36502,Correct,36502.0,31.086001,Correct,31.086001,-87.538763,Correct,-87.538763,"4740 JACK SPRINGS RD.  ATMORE, AL 36502",Correct,"4740 JACK SPRINGS RD. ATMORE, AL 36502",,Correct,ESCAMBIA,,Original,11.0,,,Active,POINT (-87.538763 31.086001),No,0.9369209504522502,,,Poarch Creek,Poarch Creek Reservation,From Original List,,,,,
12,12,F & M CIGARS,Correct,F & M CIGARS,8860 MINNIE BROWN RD,Correct,8860 MINNIE BROWN RD,MONTGOMERY,Correct,MONTGOMERY,AL,Correct,AL,36117,Correct,36117.0,32.361886,Correct,32.361886,-86.139049,Correct,-86.139049,"8860 MINNIE BROWN RD  MONTGOMERY, AL 36117",Correct,"8860 MINNIE BROWN RD MONTGOMERY, AL 36117",,Correct,MONTGOMERY,,Original,12.0,1.0,yes,Active,POINT (-86.139049 32.361886),No,4.135671681935992,,,Poarch Creek,Poarch Creek Off-Reservation Trust Land,From Original List,,,,,
13,13,SPEAKEASY CIGARS & SPIRITS LLC,Correct,No changes,162 MOSLEY ST,Correct,No changes,ATMORE,Correct,No changes,AL,Correct,No changes,36502,Correct,No changes,31.027618,Correct,No changes,-87.482712,Correct,No changes,"162 MOSLEY ST  ATMORE, AL 36502",Correct,No changes,,Correct,No changes,,Original,13.0,,,Can't validate,Can't validate,Can't validate,Can't validate,Can't validate,Can't validate,Can't validate,Can't validate,From Original List,,,,,
14,14,TOBACCO ROAD LIMITED,Correct,TOBACCO ROAD LIMITED,2073 COLISEUM BLVD,Correct,2073 COLISEUM BLVD,MONTGOMERY,Correct,MONTGOMERY,AL,Correct,AL,36110,Correct,36110.0,32.420231,Correct,32.420231,-86.268651,Correct,-86.268651,"2073 COLISEUM BLVD  MONTGOMERY, AL 36110",Correct,"2073 COLISEUM BLVD MONTGOMERY, AL 36110",,Correct,MONTGOMERY,,Original,14.0,1.0,yes,Active,POINT (-86.26865100000001 32.420231),No,7.9250544135142125,,,Poarch Creek,Poarch Creek Reservation,From Original List,,,,,
15,15,HANK'S TRADING POST,Correct,HANK'S TRADING POST,NORTH HIGHWAY 89 MP 446,Correct,31926 NORTH US-89,FLAGSTAFF,Correct,FLAGSTAFF,AZ,Correct,AZ,86004,Correct,86004.0,35.35924931,Correct,35.59349220000001,-111.57035069999999,Correct,-111.5274097,"NORTH HIGHWAY 89 MP 446  FLAGSTAFF, AZ 86004",Correct,"31926 North, US-89, Flagstaff, AZ 86004, USA",COCONINO,Correct,COCONINO,,Original,15.0,,,Active,POINT (-111.5274097 35.59349220000001),No,3.5726987668050665,,,Navajo Nation,Navajo Nation Reservation,From Original List,,,,,
16,16,DESERT VIEW TRADING POST,Correct,DESERT VIEW TRADING POST AND ICE CREAM,DESERT VIEW,Correct,DESERT VIEW,GRAND CANYON,Correct,GRAND CANYON,AZ,Correct,AZ,86023,Correct,86023.0,36.040386,Correct,36.040386,-111.82805,Correct,-111.82805,"DESERT VIEW  GRAND CANYON, AZ 86023",Correct,"DESERT VIEW GRAND CANYON, AZ 86023",COCONINO,Correct,COCONINO,,Original,16.0,1.0,yes,Active,POINT (-111.82805 36.040386),No,4.435547043390828,,,Navajo Nation,Navajo Nation Reservation,From Original List,,,,,
17,17,WOODY'S,Correct,WOODY'S,23505  MOHAVE RD,Correct,23505  MOHAVE RD,PARKER,Correct,PARKER,AZ,Correct,AZ,85344,Correct,85344.0,33.99004826,Correct,33.99004826,-114.4003922,Correct,-114.4003922,"23505  MOHAVE RD  PARKER, AZ 85344",Correct,"23505  MOHAVE RD PARKER, AZ 85344",LA PAZ,Correct,LA PAZ,,Original,17.0,,,Active,POINT (-114.4003922 33.99004826),Yes,0.0,Colorado River,Colorado River Indian Reservation,,,From Original List,,,,,
18,18,TERRIBLES HERBST,Correct,TERRIBLES HERBST,1001 S CALIFORNIA AVE,Correct,1001 S CALIFORNIA AVE,PARKER,Correct,PARKER,AZ,Correct,AZ,85344,Correct,85344.0,34.15008385,Correct,34.15008385,-114.28851189999999,Correct,-114.28851189999999,"1001 S CALIFORNIA AVE  PARKER, AZ 85344",Correct,"1001 S CALIFORNIA AVE PARKER, AZ 85344",LA PAZ,Correct,LA PAZ,,Original,18.0,,,Active,POINT (-114.2885119 34.15008385),Yes,0.0,Colorado River,Colorado River Indian Reservation,,,From Original List,,,,,
19,19,SMOKERS FRIENDLY #31,Can't Validate,SMOKERS FRIENDLY #31,820 CALIFORNIA ST,Can't Validate,820 CALIFORNIA ST,PARKER,Can't Validate,PARKER,AZ,Can't Validate,AZ,85344,Can't Validate,85344.0,34.15209361,Can't Validate,34.15209361,-114.2902916,Can't Validate,-114.2902916,"820 CALIFORNIA ST  PARKER, AZ 85344",Can't Validate,"820 CALIFORNIA ST PARKER, AZ 85344",LA PAZ,Can't Validate,LA PAZ,,Original,19.0,,,Can't Validate,POINT (-114.2902916 34.15209361),Yes,0.0,Colorado River,Colorado River Indian Reservation,,,From Original List,,,,,
20,20,LITTLE BROWN JUG,Correct,LITTLE BROWN JUG,900 S CALIFORNIA AVE,Correct,900 S CALIFORNIA AVE,PARKER,Correct,PARKER,AZ,Correct,AZ,85344,Correct,85344.0,34.15131721,Correct,34.15131721,-114.28981019999999,Correct,-114.28981019999999,"900 S CALIFORNIA AVE  PARKER, AZ 85344",Correct,"900 S CALIFORNIA AVE PARKER, AZ 85344",LA PAZ,Correct,LA PAZ,,Original,20.0,,,Active,POINT (-114.2898102 34.15131721),Yes,0.0,Colorado River,Colorado River Indian Reservation,,,From Original List,,,,,
21,21,LAKE MANOR GROCERY,Correct,LAKE MANOR MARKET,10142 RIVERSIDE DR,Correct,10142 RIVERSIDE DR,PARKER,Correct,PARKER,AZ,Correct,AZ,85344,Correct,85344.0,34.18554032,Correct,34.18554032,-114.22585359999998,Correct,-114.22585359999998,"10142 RIVERSIDE DR  PARKER, AZ 85344",Correct,"10142 RIVERSIDE DR PARKER, AZ 85344",LA PAZ,Correct,LA PAZ,,Original,21.0,,,Closed,POINT (-114.2258536 34.18554032),No,0.16718460722757464,,,Colorado River,Colorado River Indian Reservation,From Original List,,,,,
22,22,CIRCLE K,Correct,CIRCLE K,1516 S CALIFORNIA AVE,Correct,1516 S CALIFORNIA AVE,PARKER,Correct,PARKER,AZ,Correct,AZ,85344,Correct,85344.0,34.14518762,Correct,34.14518762,-114.286023,Correct,-114.286023,"1516 S CALIFORNIA AVE  PARKER, AZ 85344",Correct,"1516 S CALIFORNIA AVE PARKER, AZ 85344",LA PAZ,Correct,LA PAZ,,Original,22.0,,,Active,POINT (-114.286023 34.14518762),Yes,0.0,Colorado River,Colorado River Indian Reservation,,,From Original List,,,,,
23,23,CIRCLE K,Correct,CIRCLE K,8861  RIVERSIDE DR,Correct,8861  RIVERSIDE DR,PARKER,Correct,PARKER,AZ,Correct,AZ,85344,Correct,85344.0,34.19988831,Correct,34.19988831,-114.2193001,Correct,-114.2193001,"8861  RIVERSIDE DR  PARKER, AZ 85344",Correct,"8861  RIVERSIDE DR PARKER, AZ 85344",LA PAZ,Correct,LA PAZ,,Original,23.0,,,Active,POINT (-114.2193001 34.19988831),No,0.8226834923606182,,,Colorado River,Colorado River Indian Reservation,From Original List,,,,,
24,24,CHEVRON/FOOD MART,Correct,CHEVRON/FOOD MART,6822 EAST WILLIAMS FIELD ROAD,Correct,6822 EAST WILLIAMS FIELD ROAD,MESA,Correct,MESA,AZ,Correct,AZ,85212,Correct,85212.0,33.30726283,Correct,33.30726283,-111.6860213,Correct,-111.6860213,"6822 EAST WILLIAMS FIELD ROAD  MESA, AZ 85212",Correct,"6822 EAST WILLIAMS FIELD ROAD MESA, AZ 85212",MARICOPA,Correct,MARICOPA,,Original,24.0,1.0,yes,Active,POINT (-111.6860213 33.30726283),No,6.703941166831398,,,Gila River,Gila River Indian Reservation,From Original List,,,,,
